date,region,rep,units,amount
2026-01-03,west,alice,3,120
2026-01-04,east,bob,1,45
2026-01-06,west,carol,7,310
2026-01-07,north,alice,2,88
2026-01-09,south,dave,5,205
2026-01-11,east,bob,4,160
2026-01-12,west,erin,1,39
2026-01-14,north,carol,9,415
2026-01-15,south,alice,2,74
2026-01-17,east,dave,6,255
2026-01-18,west,bob,3,131
2026-01-20,north,erin,8,352
2026-01-21,south,carol,1,42
2026-01-23,east,alice,5,198
2026-01-24,west,dave,2,91
2026-01-26,north,bob,4,166
2026-01-27,south,erin,7,289
2026-01-29,east,carol,3,127
2026-01-30,west,alice,6,244
2026-01-31,north,dave,1,37
